User: Anonymous | Method: POST | Path: /api/token/ | Status: 200 | Duration: 1.31s
User: jorge | Method: POST | Path: /api/profissionais/ | Status: 500 | Duration: 0.32s
User: Anonymous | Method: POST | Path: /api/token/ | Status: 200 | Duration: 1.10s
User: Anonymous | Method: POST | Path: /api/unidades/ | Status: 404 | Duration: 0.02s
User: Anonymous | Method: POST | Path: /api/token/ | Status: 200 | Duration: 1.16s
User: Anonymous | Method: POST | Path: /api/unidades/ | Status: 404 | Duration: 0.01s
User: Anonymous | Method: POST | Path: /api/token/ | Status: 200 | Duration: 1.12s
User: Anonymous | Method: POST | Path: /api/unidades/ | Status: 404 | Duration: 0.01s
User: Anonymous | Method: POST | Path: /api/token/ | Status: 200 | Duration: 1.22s
User: JorgeMendes | Method: POST | Path: /api/unidades/ | Status: 400 | Duration: 0.01s
User: Anonymous | Method: POST | Path: /api/token/ | Status: 200 | Duration: 1.02s
User: JorgeMendes | Method: POST | Path: /api/unidades/ | Status: 201 | Duration: 0.02s
User: Anonymous | Method: POST | Path: /api/token/ | Status: 401 | Duration: 1.10s
User: Anonymous | Method: POST | Path: /api/token/ | Status: 200 | Duration: 1.10s
User: JorgeMendes | Method: POST | Path: /api/unidades/ | Status: 201 | Duration: 0.02s
User: Anonymous | Method: POST | Path: /api/token/ | Status: 200 | Duration: 1.10s
User: JorgeMendes | Method: POST | Path: /api/unidades/ | Status: 201 | Duration: 0.01s
User: Anonymous | Method: GET | Path: /api/docs/ | Status: 200 | Duration: 0.02s
User: Anonymous | Method: GET | Path: /api/schema/ | Status: 200 | Duration: 0.17s
User: Anonymous | Method: GET | Path: /api/docs/ | Status: 200 | Duration: 0.00s
User: Anonymous | Method: GET | Path: /api/schema/ | Status: 200 | Duration: 0.09s
User: Anonymous | Method: GET | Path: /api/docs/ | Status: 200 | Duration: 0.04s
User: Anonymous | Method: GET | Path: /api/docs/ | Status: 200 | Duration: 0.03s
User: Anonymous | Method: GET | Path: /api/schema/ | Status: 200 | Duration: 0.16s
User: Anonymous | Method: POST | Path: /api/token/ | Status: 200 | Duration: 1.08s
User: JorgeMendes | Method: POST | Path: /api/unidades/ | Status: 201 | Duration: 0.02s
User: Anonymous | Method: POST | Path: /api/administradores/ | Status: 201 | Duration: 0.07s
User: Anonymous | Method: GET | Path: /api/administradores/ | Status: 200 | Duration: 0.01s
User: Anonymous | Method: POST | Path: /api/token/ | Status: 200 | Duration: 1.10s
User: JorgeMendes | Method: POST | Path: /api/unidades/ | Status: 201 | Duration: 0.02s
User: Anonymous | Method: POST | Path: /api/token/ | Status: 200 | Duration: 1.14s
User: JorgeMendes | Method: POST | Path: /api/unidades/ | Status: 201 | Duration: 0.01s
User: Anonymous | Method: POST | Path: /api/token/ | Status: 200 | Duration: 1.14s
User: JorgeMendes | Method: POST | Path: /api/unidades/ | Status: 201 | Duration: 0.02s
User: Anonymous | Method: POST | Path: /api/token/ | Status: 200 | Duration: 1.15s
User: JorgeMendes1 | Method: POST | Path: /api/unidades/ | Status: 201 | Duration: 0.01s
User: Anonymous | Method: GET | Path: /api/ | Status: 200 | Duration: 0.07s
User: Anonymous | Method: GET | Path: /api/unidades/ | Status: 200 | Duration: 0.07s
User: Anonymous | Method: GET | Path: /api/ | Status: 200 | Duration: 0.01s
User: Anonymous | Method: OPTIONS | Path: /api/ | Status: 200 | Duration: 0.00s
User: Anonymous | Method: POST | Path: /api/token/ | Status: 200 | Duration: 1.02s
User: JorgeMendes | Method: POST | Path: /api/unidades/ | Status: 201 | Duration: 0.02s
User: Anonymous | Method: GET | Path: /api/administradores/ | Status: 200 | Duration: 0.02s
User: Anonymous | Method: GET | Path: /api/administradores/ | Status: 200 | Duration: 0.01s
User: Anonymous | Method: GET | Path: /api/administradores/ | Status: 200 | Duration: 0.01s
User: Anonymous | Method: GET | Path: /api/ | Status: 200 | Duration: 0.00s
User: Anonymous | Method: GET | Path: /api/ | Status: 200 | Duration: 0.00s
User: Anonymous | Method: GET | Path: /api/ | Status: 200 | Duration: 0.00s
User: Anonymous | Method: GET | Path: /api/ | Status: 200 | Duration: 0.00s
User: Anonymous | Method: POST | Path: /api/token/ | Status: 200 | Duration: 1.01s
User: JorgeMendes | Method: POST | Path: /api/unidades/ | Status: 201 | Duration: 0.01s
User: Anonymous | Method: POST | Path: /api/token/ | Status: 200 | Duration: 1.08s
User: JorgeMendes | Method: POST | Path: /api/unidades/ | Status: 201 | Duration: 0.01s
